,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
57,frozenset({15668478}),frozenset({15668465}),0.14258188824662812,0.12947976878612716,0.03391136801541426,0.23783783783783785,1.836872586872587,1.0,0.015449898092151425,1.1421719345713934,0.5313585291113381,0.14239482200647247,0.12447507268224402,0.24987129987129988
55,frozenset({15668467}),frozenset({15668465}),0.13448940269749518,0.12947976878612716,0.03159922928709056,0.2349570200573066,1.8146234138354485,1.0,0.014185572521634538,1.1378710138338637,0.5186781921247531,0.1359867330016584,0.12116576673249695,0.23950231955246282
54,frozenset({15668465}),frozenset({15668467}),0.12947976878612716,0.13448940269749518,0.03159922928709056,0.24404761904761907,1.8146234138354485,1.0,0.014185572521634538,1.1449274043056756,0.51569332426392,0.1359867330016584,0.1265821778399695,0.23950231955246282
25,frozenset({15668381}),frozenset({15668460}),0.20423892100192678,0.18458574181117535,0.06820809248554913,0.3339622641509434,1.8092527671642964,1.0,0.03050849974569443,1.224276364986054,0.562085333989959,0.2127403846153846,0.18319096194314652,0.3517410485681648
24,frozenset({15668460}),frozenset({15668381}),0.18458574181117535,0.20423892100192678,0.06820809248554913,0.36951983298538615,1.8092527671642964,1.0,0.03050849974569443,1.2621508504638312,0.5485379086433201,0.2127403846153846,0.20770167873950462,0.3517410485681648
74,frozenset({15669860}),frozenset({15669878}),0.10751445086705202,0.17148362235067438,0.03198458574181118,0.29749103942652333,1.7348072973299506,1.0,0.013547618252085492,1.1793677008375605,0.4745926712029465,0.1294851794071763,0.1520880220055014,0.2420039466795538
75,frozenset({15669878}),frozenset({15669860}),0.17148362235067438,0.10751445086705202,0.03198458574181118,0.18651685393258427,1.7348072973299504,1.0,0.013547618252085492,1.0971162137131543,0.5112356402353601,0.1294851794071763,0.08851953193223497,0.2420039466795538
65,frozenset({15668478}),frozenset({15668688}),0.14258188824662812,0.1857418111753372,0.045472061657032756,0.31891891891891894,1.717001233598744,1.0,0.018988643493304525,1.1955378169251003,0.4870310417063416,0.16076294277929157,0.16355636279914557,0.2818660984636088
64,frozenset({15668688}),frozenset({15668478}),0.1857418111753372,0.14258188824662812,0.045472061657032756,0.24481327800829875,1.717001233598744,1.0,0.018988643493304525,1.1353723347943,0.512846222336304,0.16076294277929157,0.11923166581192596,0.2818660984636088
2,frozenset({15668378}),frozenset({15668460}),0.13641618497109825,0.18458574181117535,0.04277456647398844,0.31355932203389836,1.6987190828350025,1.0,0.017594083776047757,1.1878874378553248,0.47629557268111483,0.15373961218836565,0.1581693954054661,0.2726460493259262
